partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank),interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
6258,20684,16,640,17929,2755,3404,0,0,0,0
6259,20798,20,445,18231,2567,3390,0,0,0,0
6260,20768,14,405,18359,2409,3120,0,0,0,0
6261,20729,16,472,18340,2389,3086,0,0,0,0
6262,20756,13,365,18403,2353,3032,0,0,0,0
6263,20737,18,412,18318,2419,3084,0,0,0,0
6264,20945,16,537,18534,2411,3224,0,0,0,0
6265,20541,14,537,18068,2473,3160,0,0,0,0
6266,20854,20,612,18457,2397,3172,0,0,0,0
6267,20490,18,612,17864,2626,3232,0,0,0,0
6268,20739,16,720,18191,2548,3334,0,0,0,0
6269,20761,14,625,18241,2520,3244,0,0,0,0
6270,20728,20,558,18122,2606,3430,0,0,0,0
6271,20721,18,554,18287,2434,3190,0,0,0,0
6272,20750,12,554,18355,2395,3082,0,0,0,0
6273,20785,16,602,18218,2567,3286,0,0,0,0
6274,20750,16,602,18291,2459,3176,0,0,0,0
6275,20840,15,446,18577,2263,2960,0,0,0,0
6276,20686,18,492,18198,2488,3130,0,0,0,0
6277,20561,18,446,18027,2534,3104,0,0,0,0
6278,20839,15,388,18361,2478,3236,0,0,0,0
6279,20692,16,370,18337,2355,3000,0,0,0,0
6280,20759,16,592,18365,2394,3176,0,0,0,0
6281,20639,15,592,18207,2432,3038,0,0,0,0
6282,20717,16,572,18177,2540,3210,0,0,0,0
6283,20741,17,572,18239,2502,3366,0,0,0,0
6284,20778,14,904,18299,2479,3292,0,0,0,0
6285,20712,21,904,17901,2811,3592,0,0,0,0
6286,20629,14,664,18195,2434,3182,0,0,0,0
6287,20798,14,664,18322,2476,3248,0,0,0,0
6288,20700,18,545,18248,2452,3176,0,0,0,0
6289,20723,16,609,18117,2606,3302,0,0,0,0
6290,20820,15,609,18272,2548,3280,0,0,0,0
6291,20800,18,477,18340,2460,3204,0,0,0,0
6292,20695,14,449,18305,2390,3032,0,0,0,0
6293,20714,17,575,18147,2567,3222,0,0,0,0
6294,20763,14,575,18293,2470,3116,0,0,0,0
6295,20724,16,517,18337,2387,3094,0,0,0,0
6296,20864,15,598,18507,2357,3168,0,0,0,0
6297,20701,14,465,18353,2348,2958,0,0,0,0
6298,20755,17,524,18187,2568,3312,0,0,0,0
6299,20794,13,524,18339,2455,3154,0,0,0,0
