partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
388,400000,6,4000,378026,21974,22400,0,0,0,0
389,400000,6,4000,378026,21974,22400,0,0,0,0
390,400000,6,4000,378026,21974,22400,0,0,0,0
391,400000,6,4000,378026,21974,22400,0,0,0,0
392,400000,6,4000,378026,21974,22400,0,0,0,0
393,400000,6,4000,378026,21974,22400,0,0,0,0
394,400000,6,4000,378026,21974,22400,0,0,0,0
395,400000,6,4000,378026,21974,22400,0,0,0,0
396,400000,6,4000,378026,21974,22400,0,0,0,0
397,400000,6,4000,378026,21974,22400,0,0,0,0
398,400000,6,4000,378026,21974,22400,0,0,0,0
399,400000,5,4000,381849,18151,18400,0,0,4000,0
400,400000,5,4000,381917,18083,18400,0,0,4000,0
401,400000,6,4000,378026,21974,22400,0,0,0,0
402,400000,6,4000,378026,21974,22400,0,0,0,0
403,400000,6,4000,378026,21974,22400,0,0,0,0
404,400000,6,4000,378026,21974,22400,0,0,0,0
405,400000,6,4000,378026,21974,22400,0,0,0,0
406,400000,6,4000,378026,21974,22400,0,0,0,0
407,400000,6,4000,378026,21974,22400,0,0,0,0
408,400000,6,4000,378026,21974,22400,0,0,0,0
409,400000,6,4000,378026,21974,22400,0,0,0,0
410,400000,6,4000,378026,21974,22400,0,0,0,0
411,400000,6,4000,378026,21974,22400,0,0,0,0
412,400000,6,4000,378026,21974,22400,0,0,0,0
413,400000,6,4000,378026,21974,22400,0,0,0,0
414,400000,6,4000,378026,21974,22400,0,0,0,0
415,400000,5,4000,381849,18151,18400,0,0,4000,0
416,400000,5,4000,381917,18083,18400,0,0,4000,0
417,400000,6,4000,378026,21974,22400,0,0,0,0
418,400000,6,4000,378026,21974,22400,0,0,0,0
419,400000,6,4000,378026,21974,22400,0,0,0,0
420,400000,6,4000,378026,21974,22400,0,0,0,0
421,400000,6,4000,378026,21974,22400,0,0,0,0
422,400000,6,4000,378026,21974,22400,0,0,0,0
423,400000,6,4000,378026,21974,22400,0,0,0,0
424,400000,6,4000,378026,21974,22400,0,0,0,0
425,400000,6,4000,378026,21974,22400,0,0,0,0
426,400000,6,4000,378026,21974,22400,0,0,0,0
427,400000,6,4000,378026,21974,22400,0,0,0,0
428,400000,6,4000,378026,21974,22400,0,0,0,0
429,400000,6,4000,378026,21974,22400,0,0,0,0
430,400000,6,4000,378026,21974,22400,0,0,0,0
431,400000,5,4000,381849,18151,18400,0,0,4000,0
432,400000,5,4000,381917,18083,18400,0,0,4000,0
433,400000,6,4000,378026,21974,22400,0,0,0,0
434,400000,6,4000,378026,21974,22400,0,0,0,0
435,400000,6,4000,378026,21974,22400,0,0,0,0
436,400000,6,4000,378026,21974,22400,0,0,0,0
437,400000,6,4000,378026,21974,22400,0,0,0,0
438,400000,6,4000,378026,21974,22400,0,0,0,0
439,400000,6,4000,378026,21974,22400,0,0,0,0
440,400000,6,4000,378026,21974,22400,0,0,0,0
441,400000,6,4000,378026,21974,22400,0,0,0,0
442,400000,6,4000,378026,21974,22400,0,0,0,0
443,400000,6,4000,378026,21974,22400,0,0,0,0
444,400000,6,4000,378026,21974,22400,0,0,0,0
445,400000,6,4000,378026,21974,22400,0,0,0,0
446,400000,6,4000,378026,21974,22400,0,0,0,0
447,400000,5,4000,381849,18151,18400,0,0,4000,0
448,400000,5,4000,381917,18083,18400,0,0,4000,0
449,400000,6,4000,378026,21974,22400,0,0,0,0
450,400000,6,4000,378026,21974,22400,0,0,0,0
451,400000,6,4000,378026,21974,22400,0,0,0,0
452,400000,6,4000,378026,21974,22400,0,0,0,0
453,400000,6,4000,378026,21974,22400,0,0,0,0
454,400000,6,4000,378026,21974,22400,0,0,0,0
455,400000,6,4000,378026,21974,22400,0,0,0,0
456,400000,6,4000,378026,21974,22400,0,0,0,0
457,400000,6,4000,378026,21974,22400,0,0,0,0
458,400000,6,4000,378026,21974,22400,0,0,0,0
459,400000,6,4000,378026,21974,22400,0,0,0,0
460,400000,6,4000,378026,21974,22400,0,0,0,0
461,400000,6,4000,378026,21974,22400,0,0,0,0
462,400000,6,4000,378026,21974,22400,0,0,0,0
463,400000,5,4000,381849,18151,18400,0,0,4000,0
464,400000,5,4000,381917,18083,18400,0,0,4000,0
465,400000,6,4000,378026,21974,22400,0,0,0,0
466,400000,6,4000,378026,21974,22400,0,0,0,0
467,400000,6,4000,378026,21974,22400,0,0,0,0
468,400000,6,4000,378026,21974,22400,0,0,0,0
469,400000,6,4000,378026,21974,22400,0,0,0,0
470,400000,6,4000,378026,21974,22400,0,0,0,0
471,400000,6,4000,378026,21974,22400,0,0,0,0
472,400000,6,4000,378026,21974,22400,0,0,0,0
473,400000,6,4000,378026,21974,22400,0,0,0,0
474,400000,6,4000,378026,21974,22400,0,0,0,0
475,400000,6,4000,378026,21974,22400,0,0,0,0
476,400000,6,4000,378026,21974,22400,0,0,0,0
