partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
12070,9133,13,325,7918,1215,1566,0,0,0,244
12071,9078,13,307,7733,1345,1724,0,0,0,0
12072,9077,13,307,7783,1294,1648,0,0,0,198
12073,9120,13,347,7755,1365,1768,0,0,0,0
12074,9061,19,347,7637,1424,1814,0,0,0,0
12075,9062,17,290,7540,1522,1958,0,0,0,0
12076,9159,14,278,7816,1343,1762,0,0,0,0
12077,9119,16,285,7651,1468,1866,0,0,0,0
12078,9101,10,382,7999,1102,1392,0,0,0,398
12079,9133,16,382,7723,1410,1838,0,0,0,0
12080,9044,15,318,7622,1422,1766,0,0,0,0
12081,9143,12,372,7758,1385,1792,0,0,0,44
12082,9122,11,372,7952,1170,1560,0,0,0,280
12083,9105,19,257,7709,1396,1792,0,0,0,0
12084,9097,12,381,7579,1518,1904,0,0,0,88
12085,9083,7,278,8086,997,1261,0,0,0,495
12086,9125,9,338,8072,1053,1363,0,0,0,349
12087,9125,11,381,7959,1166,1476,0,0,0,326
12088,9100,9,314,7933,1167,1537,0,0,0,239
12089,9096,10,314,7931,1165,1504,0,0,0,262
12090,9105,7,269,8210,895,1151,0,0,0,453
12091,9099,15,351,7701,1398,1796,0,0,0,0
12092,9087,11,351,7880,1207,1552,0,0,0,270
12093,9114,15,325,7713,1401,1840,0,0,0,0
12094,9106,16,325,7786,1320,1746,0,0,0,0
12095,9077,17,250,7578,1499,1838,0,0,0,0
12096,9056,11,247,7790,1266,1616,0,0,0,198
12097,9110,12,300,7959,1151,1468,0,0,0,308
12098,9134,14,300,7723,1411,1832,0,0,0,0
12099,9103,14,311,7622,1481,1966,0,0,0,0
12100,9102,16,275,7679,1423,1876,0,0,0,0
12101,9102,15,292,7684,1418,1878,0,0,0,0
12102,9109,14,345,7661,1448,1928,0,0,0,0
12103,9101,15,345,7635,1466,1888,0,0,0,0
12104,9103,15,330,7685,1418,1862,0,0,0,0
12105,9121,15,330,7772,1349,1778,0,0,0,0
12106,9094,19,257,7675,1419,1870,0,0,0,0
12107,9115,16,347,7772,1343,1788,0,0,0,0
12108,9111,14,347,7791,1320,1792,0,0,0,0
12109,9095,17,293,7623,1472,1980,0,0,0,0
12110,9110,18,293,7692,1418,1840,0,0,0,0
12111,9101,18,437,7633,1468,1920,0,0,0,0
12112,9102,14,398,7654,1448,1880,0,0,0,0
12113,9111,17,437,7462,1649,2098,0,0,0,0
12114,9111,14,259,7758,1353,1760,0,0,0,0
12115,9067,18,259,7582,1485,1898,0,0,0,0
12116,9082,14,286,7711,1371,1724,0,0,0,0
12117,9066,14,360,7713,1353,1760,0,0,0,0
12118,9150,11,360,7802,1348,1752,0,0,0,0
12119,9072,14,330,7623,1449,1896,0,0,0,0
12120,9112,15,330,7763,1349,1736,0,0,0,0
12121,9112,10,256,8025,1087,1412,0,0,0,394
12122,9111,16,242,7692,1419,1894,0,0,0,0
12123,9087,17,237,7711,1376,1810,0,0,0,0
12124,9102,17,395,7586,1516,2014,0,0,0,0
12125,9107,14,395,7662,1445,1876,0,0,0,0
12126,9106,13,256,7702,1404,1807,0,0,0,87
12127,9103,14,388,7645,1458,1904,0,0,0,0
12128,9107,11,388,7929,1178,1511,0,0,0,287
12129,9099,17,292,7736,1363,1754,0,0,0,166
12130,9103,13,341,7886,1217,1652,0,0,0,230
12131,9107,11,268,7991,1116,1427,0,0,0,357
12132,9097,13,401,7631,1466,1880,0,0,0,0
12133,9114,11,401,8031,1083,1433,0,0,0,395
12134,9108,17,253,7755,1353,1754,0,0,0,0
12135,9119,17,303,7666,1453,1882,0,0,0,0
12136,9104,18,313,7668,1436,1848,0,0,0,0
12137,9109,15,243,7733,1376,1776,0,0,0,0
12138,9110,12,343,7691,1419,1876,0,0,0,0
12139,9103,13,343,7729,1374,1828,0,0,0,0
12140,9093,9,309,8028,1065,1202,0,0,568,0
12141,9133,7,235,8117,1016,1118,0,0,416,0
12142,9117,8,220,8181,936,1046,0,0,654,0
12143,9035,8,392,7981,1054,1170,0,0,434,0
12144,9158,10,392,8006,1152,1297,0,0,521,0
12145,9042,9,281,7968,1074,1177,0,0,549,0
12146,9135,8,247,8145,990,1142,0,0,558,0
12147,9051,9,256,8012,1039,1142,0,0,542,0
12148,9094,9,256,8128,966,1097,0,0,613,0
12149,9135,10,245,8179,956,1079,0,0,647,0
12150,9106,15,299,7750,1356,1754,0,0,0,0
12151,9061,19,313,7508,1553,1984,0,0,0,0
12152,9010,13,203,7665,1345,1704,0,0,0,0
12153,9097,14,329,7697,1400,1776,0,0,0,0
12154,9099,16,313,7624,1475,1904,0,0,0,0
12155,9160,16,293,7809,1351,1698,0,0,0,0
12156,8965,23,293,7240,1725,2058,0,0,0,0
12157,9118,16,289,7734,1384,1800,0,0,0,0
12158,9166,17,320,7826,1340,1748,0,0,0,0
12159,9151,20,320,7687,1464,1782,0,0,0,0
12160,9119,10,235,8078,1041,1189,0,0,569,0
12161,9110,9,257,8026,1084,1210,0,0,562,0
12162,9045,10,257,7945,1100,1201,0,0,491,0
12163,9132,7,355,8238,894,1006,0,0,709,117
